Источник,МНС
Acetobacter tropicalis,1
Acidimicrobiaceae bacterium,1
Acidiphilium cryptum,1
Acidobacteriota bacterium,1
Acinetobacter,8
Actinobaculum sp. 313,1
Actinomyces oris,1
Adeno-associated virus,126
Aequorivita capsosiphonis,1
Agathobacter sp.,1
Akkermansia muciniphila,12
Alcaligenes faecalis,3
Alistipes onderdonkii,1
Alkalihalobacillus trypoxylicola,1
Alkaliphilus metalliredigens,1
Alphaproteobacteria bacterium,1
Anoxybacillus flavithermus,1
Arthrobacter glacialis,1
Baboon cytomegalovirus,1
Bacillota bacterium,2
Bacillus,1
Bacillus amyloliquefaciens,1
Bacillus anthracis,67
Bacillus cereus,2
Bacillus pumilus,1
Bacillus subtilis,2
Bacillus yapensis,1
Bacterium jgi 053,1
Bacteroidaceae bacterium,2
Bacteroidales bacterium,2
Bacteroides fragilis,4
Bacteroides ovatus,1
Bacteroides reticulotermitis,1
Bacteroides stercoris,1
Bacteroides uniformis,1
Bat mastadenovirus g,1
Betapolyomavirus hominis,82
Betapolyomavirus macacae,4
Bifidobacterium bifidum,1
Bk polyomavirus strain dunlop,1
Bk virus strain as,1
Blastococcus saxobsidens dd2,1
Bordetella pertussis,22
Borrelia burgdorferi ca12,1
Borreliella afzelii,1
Borreliella burgdorferi,31
Bovine papular stomatitis virus,2
Brucella ovis,1
Burkholderia lata,1
Burkholderia pseudomallei k96243,854
Campylobacter gracilis,1
Candidatus williamhamiltonella defendens,1
Canine coronavirus,1
Chikungunya virus,40
Chlamydia pneumoniae,4
Chlamydia trachomatis,35
Chlamydiia bacterium,1
Chlorobium chlorochromatii,1
Clostridioides difficile,1
Clostridium acetobutylicum atcc 824,1
Clostridium butyricum,3
Clostridium perfringens,1
Clostridium perfringens str. 13,1
Clostridium sp. d5,1
Clostridium sp. e02,1
Clostridium tetani,186
Corynebacterium,1
Corynebacterium diphtheriae,7
Coxsackievirus b1,7
Coxsackievirus b2,2
Coxsackievirus b3,8
Coxsackievirus b4,9
Coxsackievirus b4 ,2
Coxsackievirus b5,3
Cutibacterium acnes,1
Dechloromonas denitrificans,2
Deltaproteobacteria bacterium,1
Dengue virus,3002
Desulfovibrio aminophilus,1
Dickeya,1
Dyadobacter linearis,1
Dyadobacter luteus,1
Eastern equine encephalitis virus,1
Ebola virus,2
Ectopseudomonas mendocina,1
Enterobacter cloacae,1
Enterobacter sp. de0047,1
Enterobacteriaceae bacterium,2
Enterocloster asparagiformis,1
Enterococcus casseliflavus,1
Enterococcus saccharolyticus,1
Enterovirus b80,5
Epilithonimonas bovis,1
Escherichia coli,24
Eubacterium,1
Feline coronavirus,1
Finegoldia magna,1
Flavonifractor plautii,1
Francisella tularensis,18
Friend murine leukemia virus,2
Fusobacterium necrophorum,1
Fusobacterium nucleatum,8
Gallid alphaherpesvirus 2,1
Gardnerella vaginalis,2
Gluconobacter morbifer,1
Grass carp reovirus,1
Haemophilus influenzae,17
Halalkalibacter hemicellulosilyticus,1
Hantaan virus 76-118,4
Helicobacter pylori,44
Hepacivirus hominis,564
Hepatitis b virus,563
Hepatitis c virus,748
Hepatitis delta virus,29
Hepatitis e virus,110
Hepatovirus a,5
Hiv-1,389
Hiv-2,2
Holophagales bacterium,1
Htlv-1,2
Human adenovirus,147
Human alphaherpesvirus,334
Human betacoronavirus,10
Human betaherpesvirus 5,753
Human betaherpesvirus 5 strain ab8,12
Human betaherpesvirus 6a,9
Human betaherpesvirus 6b,70
Human betaherpesvirus 7,1
Human calicivirus nlv/erfurt/546/00/de,1
Human coronavirus,69
Human endogenous retrovirus k,1
Human gammaherpesvirus,556
Human hepatitis a virus hu/australia/hm175/1976,2
Human herpesvirus 2,14
Human herpesvirus 3,377
Human herpesvirus 4,375
Human herpesvirus 5,394
Human herpesvirus 6,130
Human herpesvirus 7,1
Human mastadenovirus a,2
Human mastadenovirus b,6
Human mastadenovirus c,15
Human metapneumovirus,16
Human papillomavirus,451
Human parainfluenza 3 virus ,3
Human parvovirus 4,3
Human parvovirus b19,15
Human poliovirus 1 mahoney,1
Human respiratory syncytial virus,78
Human rotavirus a,12
Human rotavirus strain p,3
Human rotavirus strain wa,2
Human t-cell leukemia virus type i,73
Human t-cell lymphotrophic virus type 1 ,131
Human t-cell lymphotropic virus type 1 ,2
Human t-lymphotropic virus 2,2
Influenza a virus,1483
Influenza b virus,18
Influenza c virus,1
Japanese encephalitis virus,49
Jc polyomavirus,163
Kitasatospora setae km-6054,1
Klebsiella,2
Klebsiella pneumoniae,6
Kozakia baliensis,1
Lachnospiraceae bacterium,3
Lactococcus lactis,2
Lassa virus josiah,25
Legionella longbeachae nsw150,1
Legionella pneumophila,1
Lentisphaeria bacterium,1
Leptospira interrogans serovar pomona,1
Leptospira licerasiae,1
Leucobacter chromiireducens,1
Ligilactobacillus acidipiscis,1
Listeria ivanovii,1
Listeria monocytogenes,4
Listeria seeligeri,2
Lymphocytic choriomeningitis virus  ,18
Lyssavirus rabies,4
Macacine betaherpesvirus 3,1
Malacoplasma penetrans hf-2,2
Mammarenavirus guanaritoense,1
Mammarenavirus lassaense,1
Mammarenavirus mopeiaense,1
Measles morbillivirus,20
Measles virus strain edmonston,70
Meiothermus granaticius,1
Merkel cell polyomavirus,83
Mesorhizobium delmotii,1
Mesorhizobium japonicum,1
Microscilla marina atcc 23134,1
Middle east respiratory syndrome-related coronavirus,6
Modified vaccinia ankara virus,16
Mumps orthorubulavirus,7
Mumps virus genotype g,14
Mupapillomavirus 1,2
Mycobacterium avium,9
Mycobacterium leprae,116
Mycobacterium marinum,1
Mycobacterium phage predator,1
Mycobacterium tuberculosis,1288
Mycobacterium ulcerans,1
Mycobacteroides abscessus,1
Mycobacteroides immunogenum,5
Mycolicibacterium gilvum,1
Mycolicibacterium neoaurum,1
Mycoplasma feriruminatoris,1
Myxococcales bacterium,1
Myxococcus stipitatus dsm 14675,1
Myxococcus virescens,1
Neisseria meningitidis,17
Neobacillus vireti,1
Night heron coronavirus hku19,1
Nl63-related bat coronavirus,1
Nocardia brasiliensis,1
Norovirus,18
Norwalk-like virus sp.,1
Nostoc sphaeroides,1
Novosphingobium chloroacetimidivorans,1
Oceanobacillus oncorhynchi,1
Olsenella uli,1
Oribacterium asaccharolyticum,1
Orthohantavirus andesense,6
Orthohantavirus hantanense,22
Orthohantavirus puumalaense,6
Orthohantavirus sinnombreense,4
Orthonairovirus haemorrhagiae,1
Orthopoxvirus vaccinia,308
Paenibacillus antri,1
Paenibacillus lutimineralis,1
Pangolin coronavirus,1
Panine betaherpesvirus 2,3
Paraiso escondido virus,1
Paslahepevirus balayani,28
Paucilactobacillus hokkaidonensis,1
Pectobacterium atrosepticum,1
Phocaeicola coprophilus,2
Phocaeicola salanitronis dsm 18170,1
Photobacterium phosphoreum,1
Planctomycetales bacterium,2
Pleurocapsa sp. pcc 7319,1
Porcine endogenous retrovirus,1
Porphyromonas gingivalis,1
Prescottella equi,1
Prevotella,1
Priestia koreensis,1
Pseudoduganella dura,1
Pseudomonas aeruginosa,83
Pseudomonas fluorescens,9
Pseudomonas luteola,1
Pseudomonas putida,1
Pseudomonas sp. sct,1
Pseudomonas syringae,1
Pseudomonas tremae,1
Rabies virus era,10
Rhinovirus a,14
Rhinovirus a16,45
Rhinovirus a39,1
Rhinovirus c,3
Rhizobium leguminosarum,1
Rhodococcoides fascians,1
Rhodococcus erythropolis,1
Rhodococcus sp. aw25m09,1
Rhodopirellula baltica sh 1,1
Rhodospirillaceae bacterium,1
Rickettsia prowazekii,1
Rift valley fever virus,26
Roseibium album,1
