Источник,МНС
Acetomicrobium mobile,1
Acidithiobacillus ferrooxidans,1
Acinetobacter baumannii,6
Adeno-associated virus 2,12
Adeno-associated virus 7,1
Adeno-associated virus 8,4
Ak7 murine leukemia virus,1
Akkermansia muciniphila,7
Akr  murine leukemia virus,6
Alphapolyomavirus muris,18
Anaerotignum propionicum,2
Aquifex aeolicus,5
Avian infectious bronchitis virus,1
Avian paramyxovirus 1,1
Bacillus anthracis,6
Bacillus cereus,1
Bacillus sp.,1
Bacteroidales bacterium,1
Betapolyomavirus macacae,29
Bifidobacterium breve,1
Bluetongue virus 8,20
Bordetella pertussis,1
Borna disease virus,1
Borreliella burgdorferi,13
Bovine alphaherpesvirus 1,3
Bovine herpesvirus,3
Bovine rotavirus strain,3
Brucella,30
Brucella abortus,9
Brucella melitensis,14
Cereibacter sphaeroides 2.4.1,1
Chikungunya virus,1
Chlamydia muridarum,3
Chlamydia pneumoniae,7
Chlamydia trachomatis,7
Chlamydophila pneumoniae kajaani 6,8
Cowpox virus,2
Coxiella burnetii,40
Coxsackievirus b3,5
Dengue virus,13
Dengue virus 2,14
Dengue virus 4 dominica/814669/1981,1
Dengue virus type 1,2
Dengue virus type 2,17
Dengue virus type 3,3
Dengue virus type 4,2
Desulfobacca acetoxidans,1
Ectromelia virus,43
Ehrlichia canis,1
Ehrlichia muris,1
Escherichia coli,25
Eubacterium plexicaudatum asf492,2
Foot-and-mouth disease virus,1
Foot-and-mouth disease virus a,2
Foot-and-mouth disease virus c-s8c1,1
Francisella tularensis subsp. holarctica ftnf002-00,1
Francisella tularensis subsp. holarctica lvs,225
Friend murine leukemia virus,21
Fusobacterium nucleatum,12
Fusobacterium polymorphum,1
H1n1 subtype,2
Haemophilus ducreyi,1
Haemophilus influenzae,3
Hantaan virus 76-118,18
Helicobacter pylori,20
Henipavirus nipahense,3
Hepacivirus hominis,25
Hepatitis b virus,49
Hepatitis c virus,17
Hiv-1,7
Human adenovirus 2,1
Human adenovirus 5,13
Human alphaherpesvirus 1,37
Human alphaherpesvirus 2,6
Human alphaherpesvirus 3,3
Human betaherpesvirus 6b,12
Human gammaherpesvirus 4,3
Human hepatitis a virus,7
Human herpesvirus 1,1
Human herpesvirus 2 strain 186,1
Human herpesvirus 2 strain 333,1
Human herpesvirus 5 strain ad169,1
Human immunodeficiency virus 1,13
Human mastadenovirus a,1
Human mastadenovirus c,1
Human metapneumovirus,16
Human papillomavirus,1
Human papillomavirus 11,1
Human papillomavirus 16,67
Human papillomavirus 18,2
Human papillomavirus 40,1
Human papillomavirus type 6b,2
Human papillomavirus type 7,2
Human poliovirus 1 mahoney,1
Human respiratory syncytial virus,20
Human respiratory syncytial virus a,2
Human respiratory syncytial virus a strain long,3
Human respiratory syncytial virus a2,48
Human rotavirus a,1
Influenza a virus,422
Influenza b virus,6
Japanese encephalitis virus,6
Klebsiella pneumoniae,4
Kunjin virus,3
Lactobacillus amylovorus,1
Lake victoria marburgvirus - angola2005,15
Lambdavirus lambda,4
Langat virus,1
Lassa virus ga391,1
Lassa virus josiah,1
Leadbetterella byssophila,1
Legionella pneumophila serogroup 1,7
Ligilactobacillus murinus asf361,2
Listeria monocytogenes,63
Lymphocytic choriomeningitis virus,122
Lyssavirus rabies,14
Magnetospirillum gryphiswaldense msr-1,1
Mammalian orthorubulavirus 5,1
Mammarenavirus caliense,6
Mammarenavirus choriomeningitidis,86
Mammarenavirus lassaense,1
Mammarenavirus mopeiaense,1
Marivirga tractuosa,1
Measles morbillivirus,4
Measles virus strain edmonston,3
Measles virus strain halle,4
Merkel cell polyomavirus strain 350,1
Middle east respiratory syndrome-related coronavirus,32
Modified vaccinia ankara virus,5
Moloney murine leukemia virus,6
Morbillivirus caprinae,6
Mouse mammary tumor virus,5
Murid betaherpesvirus 1,59
Murid gammaherpesvirus,56
Murid herpesvirus 1,3
Murid herpesvirus 4,21
Murid herpesvirus 68,2
Murine adenovirus 1,2
Murine cytomegalovirus,48
Murine endogenous retrovirus,1
Murine hepatitis virus,19
Murine hepatitis virus strain a59,2
Murine hepatitis virus strain jhm,19
Murine leukemia virus,8
Murine leukemia virus lp-bm5,1
Murine norovirus 1,1
Murine norovirus 1 mu/nov/gv/mnv1/2002/usa,1
Murine norovirus gv/cr6/2005/usa,1
Murine pneumonia virus,15
Murine polyomavirus strain a2,3
Murine rotavirus,2
Muromegalovirus muridbeta1,2
Murray valley encephalitis virus,5
Mus musculus papillomavirus type 1,2
Mycobacterium avium,2
Mycobacterium leprae,4
Mycobacterium tuberculosis,246
Mycobacteroides abscessus subsp. massiliense str. go 06,1
Mycolicibacterium smegmatis,15
Myroides odoratimimus,1
Neisseria meningitidis serogroup b  h44/76,3
Norway rat hepacivirus 1,1
Orthohantavirus hantanense,2
Orthohantavirus puumalaense,3
Orthohantavirus sinnombreense,6
Orthopoxvirus vaccinia,30
Peste-des-petits-ruminants virus sungri-96,2
Pichinde virus,1
Pneumonia virus of mice j3666,5
Poliovirus 1,1
Porcine reproductive and respiratory syndrome virus,2
Porcine rotavirus strain ym,1
Porphyromonas gingivalis atcc 33277,4
Pseudogulbenkiania ferrooxidans,1
Pseudomonas aeruginosa pao,2
Punavirus p1,6
Rabies virus,6
Respiratory syncytial virus,1
Respirovirus muris,8
Rhodopseudomonas palustris,2
Rickettsia prowazekii,1
Rickettsia rickettsii,6
Rift valley fever virus zh501,6
Rodent hepacivirus,2
Ross river virus,1
Rotavirus g1,1
Saimiriine gammaherpesvirus 2,2
Salmonella enterica,54
Salmonella typhimurium sl3261,4
Sars coronavirus tor2,1
Sars-cov1,5
Semliki forest virus,1
Sendai virus,12
Severe acute respiratory syndrome coronavirus 2,74
Shigella boydii,1
Simian immunodeficiency virus,2
Simian rotavirus a strain rrv,1
Simian rotavirus a/sa11,1
Simian rotavirus a/sa11-both,2
Sonchus yellow net nucleorhabdovirus,1
St. louis encephalitis virus,1
Staphylococcus aureus,29
Streptococcus agalactiae serogroup iii m781,2
Streptococcus mutans mt 8148,2
Streptococcus pneumoniae,1
Streptococcus pneumoniae r6,6
Streptococcus pyogenes,10
Streptomyces hainanensis,1
Sudan ebolavirus,11
Theiler's encephalomyelitis virus,24
Theiler's murine encephalomyelitis virus,1
Theilovirus,4
Tobacco mosaic virus,1
Vaccinia virus ankara,3
Vaccinia virus copenhagen,1
Vaccinia virus western reserve,1
Vaccinia virus wr,272
Vesicular stomatitis indiana virus,20
Vesicular stomatitis virus,19
Vibrio cholerae,1
West nile virus,19
Woodchuck hepatitis virus 8,9
Xanthomonas albilineans,1
Yellow fever virus,36
Yersinia enterocolitica,3
Yersinia pestis,216
Yersinia pseudotuberculosis,2
Zaire ebolavirus,68
Zika virus,44
Zikv/h. sapiens/brazil/beh818995/2015,48
Zikv/h. sapiens/pri/prvabc59/2015,3
