Источник,МНС
African swine fever virus,7
Anaplasma centrale,1
Anaplasma marginale,62
Borna disease virus,3
Bovine orthopneumovirus,6
Bovine respiratory syncytial virus strain snook,75
Bovine viral diarrhea virus 1,11
Bovine viral diarrhea virus 1b,28
Classical swine fever virus,4
Clostridium botulinum,1
Equid alphaherpesvirus 1,1
Foot and mouth disease virus c,1
Foot-and-mouth disease virus,32
Human rotavirus mp409,1
Human t-cell leukemia virus type i,3
Influenza a virus,36
Mycobacterium kansasii,2
Mycobacterium tuberculosis,10
Mycobacterium tuberculosis h37ra,1
Mycobacterium tuberculosis variant bovis,182
Mycobacterium tuberculosis variant bovis af2122/97,4
Neisseria meningitidis,1
Porcine reproductive and respiratory syndrome virus,30
Rodent hepacivirus,6
