Источник,МНС
Dengue virus type 2,1
Hepacivirus hominis,43
Hepatitis b virus,17
Hepatitis c virus,44
Human hepatitis a virus hu/australia/hm175/1976,3
Human immunodeficiency virus type 1 bh10,1
Influenza a virus,4
Lake victoria marburgvirus - angola2005,14
Macacine betaherpesvirus 3,2
Macacine gammaherpesvirus 4,6
Monkeypox virus,2
Mycobacterium tuberculosis,13
Prescottella equi,2
Severe acute respiratory syndrome coronavirus 2,1
Simian immunodeficiency virus,9
Vaccinia virus wr,17
