protein_name,rna_name,dengue
QGQ59495.1,MN567697.1,dengue virus type 1
QGQ59494.1,MN567696.1,dengue virus type 1
QGQ59493.1,MN567695.1,dengue virus type 1
QGQ59492.1,MN567694.1,dengue virus type 1
QGQ59491.1,MN567693.1,dengue virus type 1
QGQ59490.1,MN567692.1,dengue virus type 1
AKF17158.1,KR052012.1,dengue virus type 1
AXY94485.1,MG599634.1,dengue virus type 2
AXY94484.1,MG599633.1,dengue virus type 2
AXY94483.1,MG599632.1,dengue virus type 2
AXY94482.1,MG599631.1,dengue virus type 2
AXY94481.1,MG599630.1,dengue virus type 2
AXY94480.1,MG599629.1,dengue virus type 2
AXY94479.1,MG599628.1,dengue virus type 2
AXY94478.1,MG599627.1,dengue virus type 2
AXY94477.1,MG599626.1,dengue virus type 2
AXY94476.1,MG599625.1,dengue virus type 2
AXY94475.1,MG599624.1,dengue virus type 2
AXY94474.1,MG599623.1,dengue virus type 2
AXY94473.1,MG599622.1,dengue virus type 2
AXY94472.1,MG599621.1,dengue virus type 2
AXY94471.1,MG599620.1,dengue virus type 2
AXY94470.1,MG599619.1,dengue virus type 2
AXY94469.1,MG599618.1,dengue virus type 2
AXY94468.1,MG599617.1,dengue virus type 2
AXY94467.1,MG599616.1,dengue virus type 2
AXY94466.1,MG599615.1,dengue virus type 2
AXY94465.1,MG599614.1,dengue virus type 2
AXY94464.1,MG599613.1,dengue virus type 2
AXY94463.1,MG599612.1,dengue virus type 2
AXY94462.1,MG599611.1,dengue virus type 2
AXY94461.1,MG599610.1,dengue virus type 2
AXY94460.1,MG599609.1,dengue virus type 2
AXY94459.1,MG599608.1,dengue virus type 2
AXY94458.1,MG599607.1,dengue virus type 2
AXY94457.1,MG599606.1,dengue virus type 2
AXY94456.1,MG599605.1,dengue virus type 2
AXY94455.1,MG599604.1,dengue virus type 2
AXY94454.1,MG599603.1,dengue virus type 2
AXY94453.1,MG599602.1,dengue virus type 2
AXY94452.1,MG599601.1,dengue virus type 2
AXY94451.1,MG599600.1,dengue virus type 2
AXY94450.1,MG599599.1,dengue virus type 2
AXY94449.1,MG599598.1,dengue virus type 2
AXY94448.1,MG599597.1,dengue virus type 2
AXY94447.1,MG599596.1,dengue virus type 2
AXY94446.1,MG599595.1,dengue virus type 2
AXY94445.1,MG599594.1,dengue virus type 2
AXY94444.1,MG599593.1,dengue virus type 2
AXY94443.1,MG599592.1,dengue virus type 2
AXB26592.2,MH450301.2,dengue virus type 1
AXB26602.1,MH450311.1,dengue virus type 3
AXB26601.1,MH450310.1,dengue virus type 2
AXB26600.1,MH450309.1,dengue virus type 4
AXB26599.1,MH450308.1,dengue virus type 4
AXB26598.1,MH450307.1,dengue virus type 4
AXB26597.1,MH450306.1,dengue virus type 1
AXB26596.1,MH450305.1,dengue virus type 4
AXB26595.1,MH450304.1,dengue virus type 1
AXB26594.1,MH450303.1,dengue virus type 1
AXB26593.1,MH450302.1,dengue virus type 2
AXB26591.1,MH450300.1,dengue virus type 2
AXB26590.1,MH450299.1,dengue virus type 3
AXB26589.1,MH450298.1,dengue virus type 3
AXB26588.1,MH450297.1,dengue virus type 1
AXB26587.1,MH450296.1,dengue virus type 3
AXB26586.1,MH450295.1,dengue virus type 2
ATL24723.1,KY977454.1,dengue virus type 2
ARX96505.1,KX812530.1,dengue virus type 4
ARN79606.1,KX059037.1,dengue virus type 4
ARN79605.1,KX059036.1,dengue virus type 4
ARN79604.1,KX059035.1,dengue virus type 4
ARN79603.1,KX059034.1,dengue virus type 4
ARN79602.1,KX059033.1,dengue virus type 4
ARN79601.1,KX059032.1,dengue virus type 4
ARN79600.1,KX059031.1,dengue virus type 4
ARN79599.1,KX059030.1,dengue virus type 4
ARN79598.1,KX059029.1,dengue virus type 4
ARN79597.1,KX059028.1,dengue virus type 4
ARN79596.1,KX059027.1,dengue virus type 4
ARN79595.1,KX059026.1,dengue virus type 4
ARN79594.1,KX059025.1,dengue virus type 4
ARN79593.1,KX059024.1,dengue virus type 4
ARN79592.1,KX059023.1,dengue virus type 4
ARN79591.1,KX059022.1,dengue virus type 4
ARN79590.1,KX059021.1,dengue virus type 4
ARN79589.1,KX059020.1,dengue virus type 4
ARN79588.1,KX059019.1,dengue virus type 4
ARN79587.1,KX059018.1,dengue virus type 4
ARN79586.1,KX059017.1,dengue virus type 4
ARN79585.1,KX059016.1,dengue virus type 4
ARN79584.1,KX059015.1,dengue virus type 4
ARJ31953.1,KY369951.1,dengue virus type 4
ARJ31952.1,KY369950.1,dengue virus type 4
ARJ31951.1,KY369949.1,dengue virus type 1
AQV12772.1,KY586946.1,dengue virus type 4
AQV12771.1,KY586945.1,dengue virus type 4
AQV12770.1,KY586944.1,dengue virus type 4
AQV12769.1,KY586943.1,dengue virus type 4
AQV12768.1,KY586942.1,dengue virus type 4
AQV12767.1,KY586941.1,dengue virus type 4
AQV12766.1,KY586940.1,dengue virus type 4
AQV12765.1,KY586939.1,dengue virus type 4
AQV12764.1,KY586938.1,dengue virus type 4
AQV12763.1,KY586937.1,dengue virus type 4
AQV12762.1,KY586936.1,dengue virus type 4
AQV12761.1,KY586935.1,dengue virus type 4
AQV12760.1,KY586934.1,dengue virus type 4
AQV12759.1,KY586933.1,dengue virus type 4
AQV12758.1,KY586932.1,dengue virus type 4
AQV12757.1,KY586931.1,dengue virus type 4
AQV12756.1,KY586930.1,dengue virus type 4
AQV12755.1,KY586929.1,dengue virus type 4
AQV12754.1,KY586928.1,dengue virus type 4
AQV12753.1,KY586927.1,dengue virus type 4
AQV12752.1,KY586926.1,dengue virus type 4
AQV12751.1,KY586925.1,dengue virus type 4
AQV12750.1,KY586924.1,dengue virus type 4
AQV12749.1,KY586923.1,dengue virus type 4
AQV12748.1,KY586922.1,dengue virus type 4
AQV12747.1,KY586921.1,dengue virus type 4
AQV12746.1,KY586920.1,dengue virus type 4
AQV12745.1,KY586919.1,dengue virus type 4
AQV12744.1,KY586918.1,dengue virus type 4
AQV12743.1,KY586917.1,dengue virus type 4
AQV12742.1,KY586916.1,dengue virus type 4
AQV12741.1,KY586915.1,dengue virus type 4
AQV12740.1,KY586914.1,dengue virus type 4
AQV12739.1,KY586913.1,dengue virus type 4
AQV12738.1,KY586912.1,dengue virus type 4
AQV12737.1,KY586911.1,dengue virus type 4
AQV12736.1,KY586910.1,dengue virus type 4
AQV12735.1,KY586909.1,dengue virus type 4
AQV12734.1,KY586908.1,dengue virus type 4
AQV12733.1,KY586907.1,dengue virus type 4
AQV12732.1,KY586906.1,dengue virus type 4
AQV12731.1,KY586905.1,dengue virus type 4
AQV12730.1,KY586904.1,dengue virus type 4
AQV12729.1,KY586903.1,dengue virus type 4
AQV12728.1,KY586902.1,dengue virus type 4
AQV12727.1,KY586901.1,dengue virus type 4
AQV12726.1,KY586900.1,dengue virus type 4
AQV12725.1,KY586899.1,dengue virus type 4
AQV12724.1,KY586898.1,dengue virus type 4
AQV12723.1,KY586897.1,dengue virus type 4
AQV12722.1,KY586896.1,dengue virus type 4
AQV12721.1,KY586895.1,dengue virus type 4
AQV12720.1,KY586894.1,dengue virus type 4
AQV12719.1,KY586893.1,dengue virus type 4
AQV12718.1,KY586892.1,dengue virus type 4
AQV12717.1,KY586891.1,dengue virus type 4
AQV12716.1,KY586890.1,dengue virus type 4
AQV12715.1,KY586889.1,dengue virus type 4
AQV12714.1,KY586888.1,dengue virus type 4
AQV12713.1,KY586887.1,dengue virus type 4
AQV12712.1,KY586886.1,dengue virus type 4
AQV12711.1,KY586885.1,dengue virus type 4
AQV12710.1,KY586884.1,dengue virus type 4
AQV12709.1,KY586883.1,dengue virus type 4
AQV12708.1,KY586882.1,dengue virus type 4
AQV12707.1,KY586881.1,dengue virus type 4
AQV12706.1,KY586880.1,dengue virus type 4
AQV12705.1,KY586879.1,dengue virus type 4
AQV12704.1,KY586878.1,dengue virus type 4
AQV12703.1,KY586877.1,dengue virus type 4
AQV12702.1,KY586876.1,dengue virus type 4
AQV12701.1,KY586875.1,dengue virus type 4
