protein_name,dengue
AQV12670.1,dengue virus type 4
WRW13106.1,dengue virus type 4
AQV12731.1,dengue virus type 4
XQH47604.1,dengue virus type 4
QTX92202.1,dengue virus type 4
AQV12695.1,dengue virus type 4
WRW13047.1,dengue virus type 4
QOV09272.1,dengue virus type 4
ACS32015.1,dengue virus type 4
XGZ23337.1,dengue virus type 4
WCZ55616.1,dengue virus type 4
WCZ55587.1,dengue virus type 4
WRW13087.1,dengue virus type 4
QTX92250.1,dengue virus type 4
UZJ81404.1,dengue virus type 4
QTX92198.1,dengue virus type 4
AQV12751.1,dengue virus type 4
WRW13054.1,dengue virus type 4
QTX92156.1,dengue virus type 4
XQH47574.1,dengue virus type 4
WME20566.1,dengue virus type 4
QDG00756.1,dengue virus type 4
AFX65870.1,dengue virus type 4
AQV12760.1,dengue virus type 4
UZJ81412.1,dengue virus type 4
AFX65877.1,dengue virus type 4
WRW13114.1,dengue virus type 4
AQV12677.1,dengue virus type 4
QTX92123.1,dengue virus type 4
AQV12766.1,dengue virus type 4
XQH47636.1,dengue virus type 4
QTE05841.1,dengue virus type 4
ACO06147.1,dengue virus type 4
QTX92095.1,dengue virus type 4
QTX92167.1,dengue virus type 4
YDE81644.1,dengue virus type 4
WRW13117.1,dengue virus type 4
AEA50928.1,dengue virus type 4
WVN40809.1,dengue virus type 4
UZJ81406.1,dengue virus type 4
USW91943.1,dengue virus type 4
ACH99663.1,dengue virus type 4
WRW13055.1,dengue virus type 4
WCZ55613.1,dengue virus type 4
AQV12769.1,dengue virus type 4
AQV12704.1,dengue virus type 4
BBG31518.1,dengue virus type 4
AIQ84225.1,dengue virus type 4
AHG23274.1,dengue virus type 4
UZJ81436.1,dengue virus type 4
XQH47601.1,dengue virus type 4
AQV12765.1,dengue virus type 4
QTX92210.1,dengue virus type 4
AGE13481.1,dengue virus type 4
UVK35477.1,dengue virus type 4
AEX09561.1,dengue virus type 4
ACL99032.1,dengue virus type 4
WCZ55603.1,dengue virus type 4
QTX92397.1,dengue virus type 4
AQV12674.1,dengue virus type 4
WVN40862.1,dengue virus type 4
UVK35475.1,dengue virus type 4
UNZ79692.1,dengue virus type 4
AVW85696.1,dengue virus type 4
ACW83007.1,dengue virus type 4
UDI89641.1,dengue virus type 4
WRW13079.1,dengue virus type 4
